Sequence name,Lineage,Probability,Most common countries,Number of taxa,Date range,Days since last sampling
Wuhan/WH01/2019,B,1.0,"UK, China, USA",1696,"December-24, October-15",39
Wuhan-Hu-1,B,0.56,"UK, China, USA",1696,"December-24, October-15",34
S_2006_001043,B.1,1.0,"UK, USA, France",21394,"January-10, October-19",52
S_2006_000916,B.1,0.91,"UK, USA, France",21394,"January-10, October-19",52
S_2006_000889,B.1,1.0,"UK, USA, France",21394,"January-10, October-19",52
S_2006_000991,B.1,1.0,"UK, USA, France",21394,"January-10, October-19",52
10033798803,B.1,1.0,"UK, USA, France",21394,"January-10, October-19",52
10033785306,B.1,1.0,"UK, USA, France",21394,"January-10, October-19",52
S_2006_000956,B.1,1.0,"UK, USA, France",21394,"January-10, October-19",52
10033759721,B.1,1.0,"UK, USA, France",21394,"January-10, October-19",52
S_2006_001095,B.1,0.91,"UK, USA, France",21394,"January-10, October-19",52
S_2006_001009,B.1,1.0,"UK, USA, France",21394,"January-10, October-19",52
S_2006_000892,B.1,1.0,"UK, USA, France",21394,"January-10, October-19",52
S_2006_001130,B.1,1.0,"UK, USA, France",21394,"January-10, October-19",52
S_2006_000883,B.1,0.91,"UK, USA, France",21394,"January-10, October-19",52
S_2006_000913,A.3,1.0,"USA, UK, Australia",332,"January-28, July-01",162
S_2006_001122,B.1,1.0,"UK, USA, France",21394,"January-10, October-19",52
10033775516,B.1,0.91,"UK, USA, France",21394,"January-10, October-19",51
10034012043,B.1,1.0,"UK, USA, France",21394,"January-10, October-19",52
S_2006_005727,B.1,0.91,"UK, USA, France",21394,"January-10, October-19",52
S_2006_001041,B.1,0.91,"UK, USA, France",21394,"January-10, October-19",52
S_2006_000873,B.1.2,1.0,"USA, UK, United_States",2717,"March-09, October-12",59
S_2006_000954,A.3,1.0,"USA, UK, Australia",332,"January-28, July-01",162
S_2006_000850,B.1,0.91,"UK, USA, France",21394,"January-10, October-19",51
10033797461,B.1,0.54,"UK, USA, France",21394,"January-10, October-19",52
S_2006_001036,B.1,1.0,"UK, USA, France",21394,"January-10, October-19",52
S_2006_001016,B.1,0.91,"UK, USA, France",21394,"January-10, October-19",52
S_2006_005725,B.1,0.91,"UK, USA, France",21394,"January-10, October-19",51
S_2006_000870,B.1,1.0,"UK, USA, France",21394,"January-10, October-19",52
10033783681,B.1,0.91,"UK, USA, France",21394,"January-10, October-19",51
S_2006_000922,B.1,0.91,"UK, USA, France",21394,"January-10, October-19",52
S_2006_001052,B.1,0.91,"UK, USA, France",21394,"January-10, October-19",52
S_2006_001085,B.1,1.0,"UK, USA, France",21394,"January-10, October-19",52
10033808341,B.1,0.91,"UK, USA, France",21394,"January-10, October-19",52
S_2006_001081,B.1,0.91,"UK, USA, France",21394,"January-10, October-19",52
10033781516,B.1,0.91,"UK, USA, France",21394,"January-10, October-19",51
S_2006_000896,B.1,1.0,"UK, USA, France",21394,"January-10, October-19",52
10034006376,B.1,1.0,"UK, USA, France",21394,"January-10, October-19",52
10034240230,B.1,1.0,"UK, USA, France",21394,"January-10, October-19",52
10033871564,B.1,0.91,"UK, USA, France",21394,"January-10, October-19",52
10033774911,B.1,0.91,"UK, USA, France",21394,"January-10, October-19",51
10033864153,B.1,0.91,"UK, USA, France",21394,"January-10, October-19",52
S_2006_001098,B.1,0.91,"UK, USA, France",21394,"January-10, October-19",52
S_2006_001097,B.1,0.91,"UK, USA, France",21394,"January-10, October-19",51
10033827292,B.1,0.91,"UK, USA, France",21394,"January-10, October-19",52
10033768659,B.1,0.91,"UK, USA, France",21394,"January-10, October-19",52
S_2006_000983,B.1,1.0,"UK, USA, France",21394,"January-10, October-19",52
S_2006_001053,A.4,1.0,USA,22,"March-13, April-21",233
S_2006_001093,A.3,1.0,"USA, UK, Australia",332,"January-28, July-01",162
S_2006_001118,B.1,0.91,"UK, USA, France",21394,"January-10, October-19",52
S_2006_000930,B.1,1.0,"UK, USA, France",21394,"January-10, October-19",52
10033782000,B.1,0.91,"UK, USA, France",21394,"January-10, October-19",52
10033876044,B.1,0.91,"UK, USA, France",21394,"January-10, October-19",52
10033808445,B.1,0.91,"UK, USA, France",21394,"January-10, October-19",52
10033834090,B.1,1.0,"UK, USA, France",21394,"January-10, October-19",52
10033766580,B.1,0.91,"UK, USA, France",21394,"January-10, October-19",52
10033776047,B.1,1.0,"UK, USA, France",21394,"January-10, October-19",52
S_2006_001089,B.1,0.91,"UK, USA, France",21394,"January-10, October-19",52
10033872707,B.1,0.91,"UK, USA, France",21394,"January-10, October-19",52
10033991503,B.1,1.0,"UK, USA, France",21394,"January-10, October-19",52
10033792567,B.1,0.54,"UK, USA, France",21394,"January-10, October-19",52
S_2006_001042,B.1,1.0,"UK, USA, France",21394,"January-10, October-19",52
10033836873,B.1,0.54,"UK, USA, France",21394,"January-10, October-19",52
S_2006_001014,B.1,1.0,"UK, USA, France",21394,"January-10, October-19",52
10033872085,B.1,1.0,"UK, USA, France",21394,"January-10, October-19",52
S_2006_000963,B.1,1.0,"UK, USA, France",21394,"January-10, October-19",52
S_2006_000984,B.1,0.91,"UK, USA, France",21394,"January-10, October-19",52
S_2006_000944,B.1,1.0,"UK, USA, France",21394,"January-10, October-19",52
S_2006_001056,B.1,1.0,"UK, USA, France",21394,"January-10, October-19",52
10033760952,B.1,0.91,"UK, USA, France",21394,"January-10, October-19",51
S_2006_001111,B.1,1.0,"UK, USA, France",21394,"January-10, October-19",52
S_2006_000882,B.1,0.91,"UK, USA, France",21394,"January-10, October-19",52
S_2006_000969,B.1,0.91,"UK, USA, France",21394,"January-10, October-19",52
S_2006_000898,B.1,0.91,"UK, USA, France",21394,"January-10, October-19",52
S_2006_000909,B.1,0.91,"UK, USA, France",21394,"January-10, October-19",52
10033759038,B.1,0.91,"UK, USA, France",21394,"January-10, October-19",51
10033792551,B.1,0.91,"UK, USA, France",21394,"January-10, October-19",52
S_2006_000961,B.1,1.0,"UK, USA, France",21394,"January-10, October-19",52
10033818339,B.1,1.0,"UK, USA, France",21394,"January-10, October-19",52
10033797804,B.1,0.91,"UK, USA, France",21394,"January-10, October-19",52
S_2006_000905,B.1,0.91,"UK, USA, France",21394,"January-10, October-19",52
S_2006_000941,B.1,1.0,"UK, USA, France",21394,"January-10, October-19",52
10034135987,B.1,0.5,"UK, USA, France",21394,"January-10, October-19",52
10033797611,B.1,1.0,"UK, USA, France",21394,"January-10, October-19",52
S_2006_000924,B.1,1.0,"UK, USA, France",21394,"January-10, October-19",52
S_2006_000959,B.1,0.91,"UK, USA, France",21394,"January-10, October-19",52
10033973539,B.1,1.0,"UK, USA, France",21394,"January-10, October-19",52
S_2006_000977,B.1,1.0,"UK, USA, France",21394,"January-10, October-19",52
S_2006_001044,B.1,0.91,"UK, USA, France",21394,"January-10, October-19",52
10034244391,B.1,1.0,"UK, USA, France",21394,"January-10, October-19",52
S_2006_001114,B.1,0.91,"UK, USA, France",21394,"January-10, October-19",51
10033792343,B.1,0.91,"UK, USA, France",21394,"January-10, October-19",52
S_2006_000852,B.1,0.91,"UK, USA, France",21394,"January-10, October-19",52
S_2006_000881,A.3,1.0,"USA, UK, Australia",332,"January-28, July-01",162
S_2006_000980,B.1,0.91,"UK, USA, France",21394,"January-10, October-19",52
S_2006_000874,B.1,0.91,"UK, USA, France",21394,"January-10, October-19",52
10033809081,B.1,0.91,"UK, USA, France",21394,"January-10, October-19",51
S_2006_000880,B.1,0.91,"UK, USA, France",21394,"January-10, October-19",52
10033767074,B.1,1.0,"UK, USA, France",21394,"January-10, October-19",52
10034004586,B.1,0.5,"UK, USA, France",21394,"January-10, October-19",52
10033882288,B.1.119,1.0,"USA, UK, Canada",34,"March-17, August-03",129
10033852420,B.1.119,1.0,"USA, UK, Canada",34,"March-17, August-03",129
10033851236,B.1,1.0,"UK, USA, France",21394,"January-10, October-19",52
S_2006_000877,B.1,1.0,"UK, USA, France",21394,"January-10, October-19",52
S_2006_000863,B.1,1.0,"UK, USA, France",21394,"January-10, October-19",52
10033808660,B.1,0.91,"UK, USA, France",21394,"January-10, October-19",51
10033769080,B.1,0.91,"UK, USA, France",21394,"January-10, October-19",52
10033810376,B.1,0.91,"UK, USA, France",21394,"January-10, October-19",52
10033916721,B.1,0.91,"UK, USA, France",21394,"January-10, October-19",52
S_2006_001015,B.1,0.91,"UK, USA, France",21394,"January-10, October-19",52
10033928982,B.1,0.91,"UK, USA, France",21394,"January-10, October-19",52
10033811348,B.1,0.91,"UK, USA, France",21394,"January-10, October-19",51
