#Lower and upper bound delineate the 90% max posterior region
#node	date	numeric date	lower bound	upper bound
NODE_0000000	2019-12-11	2019.942640	2019.938227	2019.981853
Wuhan/WH01/2019	2019-12-30	2019.995890	2019.995890	2019.995890
NODE_0000001	2019-12-29	2019.992127	2019.966733	2020.106479
S_2006_001053	2020-04-02	2020.252732	2020.252732	2020.252732
NODE_0000002	2020-03-13	2020.196801	2020.170074	2020.213430
S_2006_000912	2020-03-30	2020.244536	2020.244536	2020.244536
NODE_0000003	2020-03-16	2020.205981	2020.196644	2020.216142
S_2006_000954	2020-04-06	2020.263661	2020.263661	2020.263661
S_2006_000888	2020-03-26	2020.233607	2020.233607	2020.233607
NODE_0000004	2020-03-19	2020.215097	2020.208585	2020.233543
S_2006_000851	2020-03-31	2020.247268	2020.247268	2020.247268
NODE_0000031	2020-03-23	2020.224625	2020.217163	2020.237265
S_2006_000881	2020-03-28	2020.239071	2020.239071	2020.239071
NODE_0000032	2020-03-26	2020.233519	2020.224396	2020.239996
S_2006_001093	2020-04-17	2020.293716	2020.293716	2020.293716
S_2006_000913	2020-03-29	2020.241803	2020.241803	2020.241803
NODE_0000033	2019-12-26	2019.984864	2019.931776	2019.984932
Wuhan-Hu-1	2019-12-26	2019.984932	2019.984932	2019.984932
NODE_0000005	2020-02-25	2020.152099	2020.108961	2020.188997
S_2006_000964	2020-03-27	2020.236339	2020.236339	2020.236339
NODE_0000035	2020-03-12	2020.196048	2020.176847	2020.229732
NODE_0000006	2020-03-27	2020.236339	2020.224115	2020.236339
10033836873	2020-04-02	2020.252732	2020.252732	2020.252732
10033792567	2020-03-27	2020.236339	2020.236339	2020.236339
NODE_0000037	2020-03-27	2020.236137	2020.216592	2020.239071
10033797461	2020-03-28	2020.239071	2020.239071	2020.239071
S_2006_001045	2020-05-06	2020.345628	2020.345628	2020.345628
NODE_0000007	2020-03-13	2020.197116	2020.137639	2020.198970
NODE_0000008	2020-03-12	2020.196618	2020.191526	2020.230033
NODE_0000009	2020-03-29	2020.240771	2020.225378	2020.241803
10034006376	2020-04-23	2020.310109	2020.310109	2020.310109
S_2006_000983	2020-03-29	2020.241803	2020.241803	2020.241803
NODE_0000010	2020-03-27	2020.236259	2020.226211	2020.247506
S_2006_001014	2020-04-07	2020.266393	2020.266393	2020.266393
10033834090	2020-04-02	2020.252732	2020.252732	2020.252732
NODE_0000011	2020-03-13	2020.198499	2020.197160	2020.199217
S_2006_001087	2020-04-09	2020.271858	2020.271858	2020.271858
10033789519	2020-03-27	2020.236339	2020.236339	2020.236339
S_2006_000873	2020-03-28	2020.239071	2020.239071	2020.239071
S_2006_000943	2020-03-30	2020.244536	2020.244536	2020.244536
S_2006_000977	2020-03-29	2020.241803	2020.241803	2020.241803
S_2006_000963	2020-03-27	2020.236339	2020.236339	2020.236339
S_2006_000905	2020-03-25	2020.230874	2020.230874	2020.230874
10033903914	2020-04-10	2020.274590	2020.274590	2020.274590
S_2006_000976	2020-03-30	2020.244536	2020.244536	2020.244536
S_2006_000932	2020-03-25	2020.230874	2020.230874	2020.230874
S_2006_000930	2020-03-28	2020.239071	2020.239071	2020.239071
10033866753	2020-04-06	2020.263661	2020.263661	2020.263661
S_2006_000960	2020-03-27	2020.236339	2020.236339	2020.236339
S_2006_001042	2020-05-05	2020.342896	2020.342896	2020.342896
